human,name_hu,alias_hu
http://www.wikidata.org/entity/Q2252,Edwin Aldrin,"Edwin Eugene Aldrin, Jr."
http://www.wikidata.org/entity/Q1523,II. Ramszesz,Nagy Ramszesz
http://www.wikidata.org/entity/Q1523,II. Ramszesz,Uszermaatré Szetepenré
http://www.wikidata.org/entity/Q4509,Chloë Grace Moretz,Chloe Grace Moretz
http://www.wikidata.org/entity/Q4509,Chloë Grace Moretz,Chloe Moretz
http://www.wikidata.org/entity/Q4509,Chloë Grace Moretz,Chloë Moretz
http://www.wikidata.org/entity/Q475,Eduardo Frei Montalva,Eduardo Nicanor Frei Montalva
http://www.wikidata.org/entity/Q2291,Totò,Toto
http://www.wikidata.org/entity/Q493,Arthur Rimbaud,Jean Nicolas Arthur Rimbaud
http://www.wikidata.org/entity/Q909,Jorge Luis Borges,Jorge Francisco Isidoro Luis Borges
http://www.wikidata.org/entity/Q909,Jorge Luis Borges,Jorge Francisco Isidoro Luis Borges Acevedo
http://www.wikidata.org/entity/Q2263,Tom Hanks,"Thomas Jeffrey ""Tom"" Hanks"
http://www.wikidata.org/entity/Q2263,Tom Hanks,Thomas Jeffrey Hanks
http://www.wikidata.org/entity/Q1398,Publius Vergilius Maro,Virgilius
http://www.wikidata.org/entity/Q1398,Publius Vergilius Maro,Vergilius
http://www.wikidata.org/entity/Q502,Stendhal,Marie-Henri Beyle
http://www.wikidata.org/entity/Q4462,Joachim Löw,Joachim „Jogi“ Löw
http://www.wikidata.org/entity/Q4462,Joachim Löw,Jogi Löw
http://www.wikidata.org/entity/Q1124,Bill Clinton,William Jefferson Blythe III
http://www.wikidata.org/entity/Q1124,Bill Clinton,William Jefferson Clinton
http://www.wikidata.org/entity/Q920,J. Bernlef,Hendrik Jan Marsman
http://www.wikidata.org/entity/Q926,Roald Amundsen,Roald Engelbregt Gravning Amundsen
http://www.wikidata.org/entity/Q489,Bill Maher,William Maher
http://www.wikidata.org/entity/Q615,Lionel Messi,Lionel Andrés Messi
http://www.wikidata.org/entity/Q4489,Stefanie Heinzmann,Heinzmann
http://www.wikidata.org/entity/Q4489,Stefanie Heinzmann,Stefanie Fabienne Heinzmann
http://www.wikidata.org/entity/Q675,André-Marie Ampère,Andre-Marie Ampere
http://www.wikidata.org/entity/Q4212,Ned Beatty,Nedward Thomas Beatty
http://www.wikidata.org/entity/Q1149,Indira Gandhi,Indira Prijadarsini Gándhi
http://www.wikidata.org/entity/Q2866,Aljakszandr Rihoravics Lukasenka,Alekszandr Grigorjevics Lukasenko
http://www.wikidata.org/entity/Q1918,Franck Ribéry,Franck Bilal Ribéry
http://www.wikidata.org/entity/Q1916,Patrice Evra,Patrice Latyr Evra
